HGNC approved symbol,Product,Function,Protein complex,Target entity,HGNC approved name,UniProt ID (human),Pfam domains,UniProt ID (mouse),Modification
EIF4A3,#,RNA modification,#,mRNA,"Eukaryotic initiation factor 4A-III (eIF-4A-III) (eIF4A-III) (EC 3.6.4.13) (ATP-dependent RNA helicase DDX48) (ATP-dependent RNA helicase eIF4A-3) (DEAD box protein 48) (Eukaryotic initiation factor 4A-like NUK-34) (Eukaryotic translation initiation factor 4A isoform 3) (Nuclear matrix protein 265) (NMP 265) (hNMP 265) [Cleaved into: Eukaryotic initiation factor 4A-III, N-terminally processed]",IF4A3_HUMAN,PF00270;PF00271,IF4A3_MOUSE,Alternative splicing
ELP2,#,Histone modification write cofactor,Pol2 elongator,#,elongator acetyltransferase complex subunit 2,ELP2_HUMAN,WD40 PF00400 48-91 99-143 197-237 274-320 378-416 557-587 604-642 662-697,ELP2_MOUSE,Histone acetylation
ELP3,#,Histone modification write,Pol2 elongator,"H3, H4?",elongator acetyltransferase complex subunit 3,ELP3_HUMAN,"Acetyltransf_1 PF00583 441-536, Pfam-B_13823 PB013823 1-49, Radical_SAM PF04055 96-305",ELP3_MOUSE,Histone acetylation
ELP4,#,Histone modification write cofactor,Pol2 elongator,#,elongator acetyltransferase complex subunit 4,ELP4_HUMAN,PAXNEB PF05625 27-424,ELP4_MOUSE,Histone acetylation
ELP5,#,Histone modification write cofactor,Pol2 elongator,"H3K14, H4K8",elongator acetyltransferase complex subunit 5,ELP5_HUMAN,Elong_Iki1 PF10483 17-298,ELP5_MOUSE,Histone acetylation
ELP6,#,Histone modification write cofactor,Pol2 elongator,#,elongator acetyltransferase complex subunit 6,ELP6_HUMAN,DUF2348 PF09807 1-251,ELP6_MOUSE,Histone acetylation
ENY2,#,Histone modification erase cofactor,SAGA,#,enhancer of yellow 2 homolog (Drosophila),ENY2_HUMAN,EnY2 PF10163 11-96,ENY2_MOUSE,Histone ubiquitination
EP300,#,Histone modification write,#,"H2A, H2B, H3, H4",E1A binding protein p300,EP300_HUMAN,"Bromodomain PF00439 1058-1144, Creb_binding PF09030 1990-2099, DUF902 PF06001 1155-1196, KAT11 PF08214 1306-1612, KIX PF02172 566-646, Pfam-B_15526 PB015526 1-129, Pfam-B_817 PB000817 2317-2349, ZZ PF00569 1664-1705, zf-TAZ PF02135 336-416 1733-1806",EP300_MOUSE,Histone acetylation
EP400,#,"Chromatin remodeling, Histone modification write","SWR, NuA4, NuA4-related complex",#,E1A binding protein p400,EP400_HUMAN,"HSA PF07529 800-871, Helicase_C PF00271 1932-2014, Pfam-B_18422 PB018422 1887-1923, SNF2_N PF00176 1094-1374",EP400_MOUSE,Histone acetylation
EPC1,#,Polycomb group (PcG) protein,"NuA4, Piccolo_NuA4, NuA4-related complex",#,enhancer of polycomb homolog 1 (Drosophila),EPC1_HUMAN,"EPL1 PF10513 6-149, E_Pc_C PF06752 582-836",EPC1_MOUSE,#
EPC2,#,Chromatin remodeling,#,#,enhancer of polycomb homolog 2 (Drosophila),EPC2_HUMAN,"EPL1 PF10513 6-149, E_Pc_C PF06752 577-807, Pfam-B_18248 PB018248 432-544, Pfam-B_19406 PB019406 370-415",EPC2_MOUSE,#
ERBB4,#,Histone modification cofactor,#,H3K9me3,v-erb-b2 avian erythroblastic leukemia viral oncogene homolog 4,ERBB4_HUMAN,"Furin-like PF00757 176-335, GF_recep_IV PF14843 502-634, Pfam-B_10445 PB010445 1236-1306, Pkinase_Tyr PF07714 718-974, Recep_L_domain PF01030 55-167 358-478",ERBB4_MOUSE,#
ERCC6,#,Chromatin remodeling,B-WICH,#,excision repair cross-complementation group 6,ERCC6_HUMAN,"Helicase_C PF00271 873-952, Pfam-B_58020 PB058020 1-49, SNF2_N PF00176 510-812",#,#
EXOSC1,#,"Scaffold protein, RNA modification",RNA exosome,#,exosome component 1,EXOS1_HUMAN,"ECR1_N PF14382 7-41, EXOSC1 PF10447 64-135",EXOS1_MOUSE,RNA degradation
EXOSC2,#,"Scaffold protein, RNA modification",RNA exosome,#,exosome component 2,EXOS2_HUMAN,ECR1_N PF14382 26-64,EXOS2_MOUSE,RNA degradation
EXOSC3,#,"Scaffold protein, RNA modification",RNA exosome,#,exosome component 3,EXOS3_HUMAN,Pfam-B_7181 PB007181 221-267,EXOS3_MOUSE,RNA degradation
EXOSC4,#,"Scaffold protein, RNA modification",RNA exosome,#,exosome component 4,EXOS4_HUMAN,"Pfam-B_25613 PB025613 221-243, RNase_PH PF01138 21-152, RNase_PH_C PF03725 155-220",EXOS4_MOUSE,RNA degradation
EXOSC5,#,"Scaffold protein, RNA modification",RNA exosome,#,exosome component 5,EXOS5_HUMAN,"RNase_PH PF01138 27-147, RNase_PH_C PF03725 150-216",EXOS5_MOUSE,RNA degradation
EXOSC6,#,"Scaffold protein, RNA modification",RNA exosome,#,exosome component 6,EXOS6_HUMAN,RNase_PH PF01138 35-175,EXOS6_MOUSE,RNA degradation
EXOSC7,#,"Scaffold protein, RNA modification",RNA exosome,#,exosome component 7,EXOS7_HUMAN,"RNase_PH PF01138 31-166, RNase_PH_C PF03725 196-262",EXOS7_MOUSE,RNA degradation
EXOSC8,#,"Scaffold protein, RNA modification",RNA exosome,#,exosome component 8,EXOS8_HUMAN,"RNase_PH PF01138 31-166, RNase_PH_C PF03725 191-258",EXOS8_MOUSE,RNA degradation
EXOSC9,#,"Scaffold protein, RNA modification",RNA exosome,#,exosome component 9,EXOS9_HUMAN,"RNase_PH PF01138 31-163, RNase_PH_C PF03725 189-256",EXOS9_MOUSE,RNA degradation
EYA1,#,Histone modification erase,#,H2AXT142,EYA transcriptional coactivator and phosphatase 1,EYA1_HUMAN,"Pfam-B_10178 PB010178 530-586, Pfam-B_3150 PB003150 209-513",EYA1_MOUSE,Histone phosphorylation
EYA2,#,Histone modification erase,#,H2AXT142,EYA transcriptional coactivator and phosphatase 2,EYA2_HUMAN,#,EYA2_MOUSE,Histone phosphorylation
EYA3,#,Histone modification erase,#,H2AXT142,EYA transcriptional coactivator and phosphatase 3,EYA3_HUMAN,#,EYA3_MOUSE,Histone phosphorylation
EYA4,H2AXY142,Histone modification erase,#,H2AXY142ph,EYA transcriptional coactivator and phosphatase 4,EYA4_HUMAN,Pfam-B_6035 PB006035 96-142,EYA4_MOUSE,Histone phosphorylation
EZH1,"H3K27me1, H3K27me2, H3K27me3","Histone modification write, Polycomb group (PcG) protein",PRC2,H3K27,enhancer of zeste 1 polycomb repressive complex 2 subunit,EZH1_HUMAN,"EZH2_WD-Binding PF11616 39-68, SET PF00856 624-728",EZH1_MOUSE,Histone methylation
EZH2,"H3K27me1, H3K27me2, H3K27me3","Histone modification write, Polycomb group (PcG) protein",PRC2,H3K27,enhancer of zeste 2 polycomb repressive complex 2 subunit,EZH2_HUMAN,"EZH2_WD-Binding PF11616 39-68, SET PF00856 623-727",EZH2_MOUSE,Histone methylation
FAM175A,#,Scaffold protein,BRCA1-A,#,"family with sequence similarity 175, member A",F175A_HUMAN,Pfam-B_8506 PB008506 1-175,F175A_MOUSE,#
FAM175B,H2AK63ub,Histone modification erase cofactor,BRISC,H2AK63,"family with sequence similarity 175, member B",F175B_HUMAN,Pfam-B_24421 PB024421 331-390,F175B_MOUSE,Histone ubiquitination
FBL,H2AQ104me,Histone modification write,#,H2AQ104,fibrillarin,FBRL_HUMAN,Fibrillarin PF01269 88-315,FBRL_MOUSE,Histone methylation
FBRS,#,Histone modification,RING2-FBRS,#,fibrosin,FBRS_HUMAN,"Auts2 PF15336 82-282, Pfam-B_58582 PB058582 283-359",FBRS_MOUSE,#
FBRSL1,#,Histone modification,RING2-FBRS,#,fibrosin-like 1,FBSL_HUMAN,"Auts2 PF15336 587-791, Pfam-B_17807 PB017807 439-487, Pfam-B_187339 PB187339 41-131, Pfam-B_52362 PB052362 164-412",#,#
FOXA1,#,"Chromatin remodeling, TF",#,DNA motif,forkhead box A1,FOXA1_HUMAN,"Fork_head PF00250 170-265, Fork_head_N PF08430 17-169, HNF_C PF09354 397-461",FOXA1_MOUSE,#
FTO,"hm6A, f6A, A",RNA modification,#,m6A of mRNA,FTO alpha-ketoglutarate dependent dioxygenase,FTO_HUMAN,"PF12934, PF12933",FTO_MOUSE,RNA demethylation
GADD45A,#,Chromatin remodeling,#,"H2A, H2B, H3, H4","growth arrest and DNA-damage-inducible, alpha",GA45A_HUMAN,Ribosomal_L7Ae PF01248 21-123,GA45A_MOUSE,#
GADD45B,#,Chromatin remodeling,#,"H2A, H2B, H3, H4","growth arrest and DNA-damage-inducible, beta",GA45B_HUMAN,Ribosomal_L7Ae PF01248 21-121,GA45B_MOUSE,#
GADD45G,#,Chromatin remodeling,#,"H2A, H2B, H3, H4","growth arrest and DNA-damage-inducible, gamma",GA45G_HUMAN,Ribosomal_L7Ae PF01248 24-113,GA45G_MOUSE,#
GATAD1,#,Histone modification read,#,H3K4me3,GATA zinc finger domain containing 1,GATD1_HUMAN,"GATA PF00320 9-36, Pfam-B_13145 PB013145 175-216, Pfam-B_17231 PB017231 235-263",GATD1_MOUSE,#
GATAD2A,#,Histone modification read,NuRD,"H2A, H2B, H3, H4",GATA zinc finger domain containing 2A,P66A_HUMAN,Pfam-B_2058 PB002058 1-79,P66A_MOUSE,#
GATAD2B,#,Histone modification read,NuRD,"H2A, H2B, H3, H4",GATA zinc finger domain containing 2B,P66B_HUMAN,GATA PF00320 420-454,P66B_MOUSE,#
GFI1,#,Chromatin remodeling,#,#,growth factor independent 1 transcription repressor,GFI1_HUMAN,"LIM PF00412 228-283 287-342 346-401 405-460, Paxillin PF03535 6-135",GFI1_MOUSE,#
GFI1B,#,Histone modification cofactor,#,#,growth factor independent 1B transcription repressor,GFI1B_HUMAN,"zf-C2H2 PF00096 220-242, zf-H2C2_2 PF13465 177-203 262-287 290-314",GFI1B_MOUSE,#
GLYR1,#,Histone modification read,#,H3K4me3,glyoxylate reductase 1 homolog (Arabidopsis),GLYR1_HUMAN,"NAD_binding_11 PF14833 430-551, NAD_binding_2 PF03446 267-429, PWWP PF00855 6-89",GLYR1_MOUSE,#
GSE1,#,Histone modification erase,"BHC, LSD-CoREST",#,Gse1 coiled-coil protein,GSE1_HUMAN,DUF3736 PF12540 70-203 731-874,GSE1_MOUSE,Histone acetylation
GSG2,H3T3ph,Histone modification write,#,H3T3,germ cell associated 2 (haspin),HASP_HUMAN,"DUF3635 PF12330 708-797, Pfam-B_41097 PB041097 111-310, Pfam-B_49843 PB049843 1-109, Pkinase PF00069 484-699",HASP_MOUSE,Histone phosphorylation
GTF3C4,#,Histone modification write,#,H3,"general transcription factor IIIC, polypeptide 4, 90kDa",TF3C4_HUMAN,"TFIIIC_delta PF12657 61-254, zf-TFIIIC PF12660 733-822",TF3C4_MOUSE,Histone acetylation
HAT1,#,Histone modification write,#,"H4, H2A",histone acetyltransferase 1,HAT1_HUMAN,Hat1_N PF10394 26-187,HAT1_MOUSE,Histone acetylation
HCFC1,#,Chromatin remodeling,"NSL, COMPASS, MLL-HCF, CHD8, MLL2/3, COMPASS-like MLL1,2, MLL4/WBP7",#,host cell factor C1,HCFC1_HUMAN,"Kelch_1 PF01344 32-71, Kelch_3 PF13415 91-145 146-208 215-263 264-330, Pfam-B_49758 PB049758 381-598",HCFC1_MOUSE,#
HCFC2,#,"Histone modification write cofactor, Histone modification write cofactor","MLL-HCF, CHD8, MLL2/3, MLL4/WBP7",H3,host cell factor C2,HCFC2_HUMAN,"Kelch_1 PF01344 244-301, Kelch_3 PF13415 205-253, Kelch_5 PF13854 312-356",HCFC2_MOUSE,"Histone methylation, Histone acetylation"
HDAC1,#,Histone modification erase,"SWI/SNF_Brm, NuRD, BHC, MeCP1, mSin3A, core HDAC, mSin3A-like complex, RING2-L3MBTL2, CREST-BRG1, LSD-CoREST","H3, H4",histone deacetylase 1,HDAC1_HUMAN,"Hist_deacetyl PF00850 18-320, Pfam-B_22185 PB022185 444-478",HDAC1_MOUSE,Histone acetylation
HDAC10,"H2AK, H2BK, H3K, H4K",Histone modification erase,#,"H2AKac, H2BKac, H3Kac, H4Kac",histone deacetylase 10,HDA10_HUMAN,Hist_deacetyl PF00850 13-322,HDA10_MOUSE,Histone acetylation
HDAC11,"H2AK, H2BK, H3K, H4K",Histone modification erase,#,"H2AKac, H2BKac, H3Kac, H4Kac",histone deacetylase 11,HDA11_HUMAN,Hist_deacetyl PF00850 23-320,HDA11_MOUSE,Histone acetylation
HDAC2,"H2AK, H2BK, H3K, H4K",Histone modification erase,"SWI/SNF_Brg1(I), SWI/SNF_Brg1(II), SWI/SNF_Brm, NuRD, BHC, MeCP1, mSin3A, core HDAC, mSin3A-like complex, RING2-L3MBTL2, LSD-CoREST","H2AKac, H2BKac, H3Kac, H4Kac",histone deacetylase 2,HDAC2_HUMAN,"Hist_deacetyl PF00850 19-321, Pfam-B_46198 PB046198 351-449",HDAC2_MOUSE,Histone acetylation
HDAC3,"H2AK, H2BK, H3K, H4K",Histone modification erase,#,"H2AKac, H2BKac, H3Kac, H4Kac",histone deacetylase 3,HDAC3_HUMAN,"Hist_deacetyl PF00850 11-315, Pfam-B_3137 PB003137 353-383",HDAC3_MOUSE,Histone acetylation
HDAC4,"H2AK, H2BK, H3K, H4K",Histone modification erase,#,"H2AKac, H2BKac, H3Kac, H4Kac",histone deacetylase 4,HDAC4_HUMAN,"Arb2 PF09757 1000-1059, HDAC4_Gln PF12203 61-152, Hist_deacetyl PF00850 664-993",HDAC4_MOUSE,Histone acetylation
HDAC5,"H2AK, H2BK, H3K, H4K",Histone modification erase,#,"H2AKac, H2BKac, H3Kac, H4Kac",histone deacetylase 5,HDAC5_HUMAN,"HDAC4_Gln PF12203 66-133, Hist_deacetyl PF00850 693-1023",HDAC5_MOUSE,Histone acetylation
HDAC6,"H2AK, H2BK, H3K, H4K",Histone modification erase,#,"H2AKac, H2BKac, H3Kac, H4Kac",histone deacetylase 6,HDAC6_HUMAN,"Hist_deacetyl PF00850 95-403 489-799, zf-UBP PF02148 1133-1195",HDAC6_MOUSE,Histone acetylation
HDAC7,"H2AK, H2BK, H3K, H4K",Histone modification erase,#,"H2AKac, H2BKac, H3Kac, H4Kac",histone deacetylase 7,HDAC7_HUMAN,"Hist_deacetyl PF00850 530-860, Pfam-B_5922 PB005922 1-148",HDAC7_MOUSE,Histone acetylation
HDAC8,"H2AK, H2BK, H3K, H4K",Histone modification erase,#,"H2AKac, H2BKac, H3Kac, H4Kac",histone deacetylase 8,HDAC8_HUMAN,"Hist_deacetyl PF00850 21-323, Pfam-B_15628 PB015628 324-375",HDAC8_MOUSE,Histone acetylation
HDAC9,"H3K, H4K",Histone modification erase,#,"H3Kac, H4Kac",histone deacetylase 9,HDAC9_HUMAN,"HDAC4_Gln PF12203 36-124, Hist_deacetyl PF00850 643-973, Pfam-B_5353 PB005353 577-624",HDAC9_MOUSE,Histone acetylation
HDGF,#,"Chromatin remodeling, TF",#,DNA motif,hepatoma-derived growth factor,HDGF_HUMAN,PWWP PF00855 10-92,HDGF_MOUSE,TF repressor
HDGFL2,#,Histone modification read,#,"H3K79me3, H4K20me3, H3K36me3",HDGF like 2,HDGR2_HUMAN,"LEDGF PF11467 472-578, PWWP PF00855 5-87, Pfam-B_32406 PB032406 111-159",HDGR2_MOUSE,#
HELLS,#,Chromatin remodeling,#,#,"helicase, lymphoid-specific",HELLS_HUMAN,"Helicase_C PF00271 633-712, SNF2_N PF00176 226-577",HELLS_MOUSE,#
HIF1AN,#,Histone modification erase cofactor,#,#,"hypoxia inducible factor 1, alpha subunit inhibitor",HIF1N_HUMAN,Cupin_8 PF13621 48-302,HIF1N_MOUSE,Histone acetylation
HINFP,#,"Histone modification read, TF",#,"H4, DNA motif",histone H4 transcription factor,HINFP_HUMAN,"Pfam-B_17110 PB017110 1-103, zf-C2H2 PF00096 255-278 345-368, zf-C2H2_4 PF13894 229-254, zf-H2C2_2 PF13465 185-210",HINFP_MOUSE,"TF activator, TF repressor"
HIRA,#,Histone modification read,#,"H2B, H4",histone cell cycle regulator,HIRA_HUMAN,"HIRA_B PF09453 448-471, Hira PF07569 763-962, Pfam-B_18560 PB018560 963-1015, WD40 PF00400 5-44 60-98 121-159 164-202 258-312",HIRA_MOUSE,#
HIRIP3,#,Histone modification read,#,"H2A, H3",HIRA interacting protein 3,HIRP3_HUMAN,CHZ PF09649 484-520,HIRP3_MOUSE,#
HJURP,#,Histone chaperone,#,H4,Holliday junction recognition protein,HJURP_HUMAN,"HJURP_C PF12347 409-471 554-614, HJURP_mid PF12346 271-386, Pfam-B_631 PB000631 682-746, Scm3 PF10384 16-77",HJURP_MOUSE,#
HLCS,#,Histone modification write,#,"H1, H2A, H2B, H4",holocarboxylase synthetase (biotin-(proprionyl-CoA-carboxylase (ATP-hydrolysing)) ligase),BPL1_HUMAN,"BPL_C PF02237 669-718, BPL_LplA_LipB PF03099 471-603, Pfam-B_33359 PB033359 244-405, Pfam-B_35799 PB035799 407-469",BPL1_MOUSE,#
HLTF,#,Chromatin remodeling cofactor,#,#,helicase-like transcription factor,HLTF_HUMAN,"HIRAN PF08797 60-155, Helicase_C PF00271 870-950, SNF2_N PF00176 243-722, zf-RING_2 PF13639 758-801",HLTF_MOUSE,#
HMG20A,#,Chromatin remodeling cofactor,LSD-CoREST,H3K4,high mobility group 20A,HM20A_HUMAN,HMG_box PF00505 103-171,HM20A_MOUSE,#
HMG20B,#,Chromatin remodeling,"BHC, LSD-CoREST",#,high mobility group 20B,HM20B_HUMAN,"HMG_box PF00505 70-138, Pfam-B_10576 PB010576 211-315",HM20B_MOUSE,#
HMGB1,#,Chromatin remodeling,#,#,high mobility group box 1,HMGB1_HUMAN,"HMG_box PF00505 95-163, HMG_box_2 PF09011 6-79",HMGB1_MOUSE,#
HMGN1,#,Chromatin remodeling,#,H1,high mobility group nucleosome binding domain 1,HMGN1_HUMAN,HMG14_17 PF01101 2-96,HMGN1_MOUSE,#
HMGN2,#,Chromatin remodeling,#,H1,high mobility group nucleosomal binding domain 2,HMGN2_HUMAN,HMG14_17 PF01101 2-90,HMGN2_MOUSE,#
HMGN3,#,Chromatin remodeling,#,H1,high mobility group nucleosomal binding domain 3,HMGN3_HUMAN,HMG14_17 PF01101 2-98,HMGN3_MOUSE,#
HMGN4,#,Chromatin remodeling,#,H1,high mobility group nucleosomal binding domain 4,HMGN4_HUMAN,HMG14_17 PF01101 2-90,#,#
HMGN5,#,Chromatin remodeling,#,H1,high mobility group nucleosome binding domain 5,HMGN5_HUMAN,HMG14_17 PF01101 2-102,HMGN5_MOUSE,#
HNRNPU,#,RNA modification,#,mRNA,Heterogeneous nuclear ribonucleoprotein U (hnRNP U) (GRIP120) (Nuclear p120 ribonucleoprotein) (Scaffold-attachment factor A) (SAF-A) (p120) (pp120),HNRPU_HUMAN,PF02037;PF00622,HNRPU_MOUSE,Alternative splicing
HNRPL,#,RNA modification,#,mRNA,Heterogeneous nuclear ribonucleoprotein L (hnRNP L),HNRPL_HUMAN,PF00076;PF11835,HNRPL_MOUSE,Alternative splicing
HNRPM,#,RNA modification,#,mRNA,Heterogeneous nuclear ribonucleoprotein M (hnRNP M),HNRPM_HUMAN,PF11532;PF00076,HNRPM_MOUSE,Alternative splicing
HP1BP3,#,Chromatin remodeling,#,#,"heterochromatin protein 1, binding protein 3",HP1B3_HUMAN,Linker_histone PF00538 157-232 260-330 341-412,HP1B3_MOUSE,#
HR,H3K9,Histone modification erase,#,"H3K9me1, H3K9me2",hair growth associated,HAIR_HUMAN,"JmjC PF02373 1026-1140, Pfam-B_40014 PB040014 312-431, Pfam-B_80075 PB080075 181-289",HAIR_MOUSE,Histone methylation
HSPA1A,#,Histone modification write cofactor,#,HDAC,heat shock protein family A (Hsp70) member 1B,HS71A_HUMAN,PF00012,HS71A_MOUSE,"Histone acetylation, Histone methylation, Histone ubiquitination"
HSPA1A,#,"Histone modification write cofactor, Histone modification write cofactor","CHD8, MLL2/3, MLL4/WBP7",#,heat shock 70kDa protein 1A,HSP71_HUMAN,HSP70 PF00012 6-612,HS71A_MOUSE,"Histone methylation, Histone acetylation"
HSPA1B,#,Histone modification write cofactor,#,HDAC,heat shock protein family A (Hsp70) member 1B,HS71B_HUMAN,PF00012,HS71B_MOUSE,"Histone acetylation, Histone methylation, Histone ubiquitination"
HSPA1B,#,"Histone modification write cofactor, Histone modification write cofactor","CHD8, MLL2/3, MLL4/WBP7",#,heat shock 70kDa protein 1B,HSP71_HUMAN,HSP70 PF00012 6-612,HS71A_MOUSE,"Histone methylation, Histone acetylation"
HUWE1,#,Histone modification write,#,H3K9,"HECT, UBA and WWE domain containing 1, E3 ubiquitin protein ligase",HUWE1_HUMAN,"DUF4414 PF14377 2968-3079, DUF908 PF06012 89-370, DUF913 PF06025 429-815, HECT PF00632 4067-4374, Pfam-B_13571 PB013571 3944-3965, Pfam-B_15798 PB015798 3091-3191, Pfam-B_20712 PB020712 2429-2459, Pfam-B_6870 PB006870 3966-4021, UBA PF00627 1317-1352, WWE PF02825 1611-1679",HUWE1_MOUSE,Histone ubiquitination
IKBKAP,#,Scaffold protein,Pol2 elongator,RNA,"inhibitor of kappa light polypeptide gene enhancer in B-cells, kinase complex-associated protein",ELP1_HUMAN,"IKI3 PF04762 1-954, Pfam-B_8846 PB008846 1048-1212",ELP1_MOUSE,#
IKZF1,#,"Chromatin remodeling, TF",#,DNA motif,IKAROS family zinc finger 1 (Ikaros),IKZF1_HUMAN,zf-H2C2_2 PF13465 131-156 159-184 187-212,IKZF1_MOUSE,#
ING1,#,Histone modification read,#,H3K4me3,"inhibitor of growth family, member 1",ING1_HUMAN,"ING PF12998 173-256, PHD PF00628 355-402, Pfam-B_837 PB000837 51-89",ING1_MOUSE,#
ING2,#,Histone modification read,mSin3A-like complex,H3K4me3,"inhibitor of growth family, member 2",ING2_HUMAN,"ING PF12998 26-125, PHD PF00628 214-261",ING2_MOUSE,#
ING3,#,"Chromatin remodeling, Histone modification write cofactor","SWR, NuA4, Piccolo_NuA4","H2A, H4","inhibitor of growth family, member 3",ING3_HUMAN,"ING PF12998 2-104, PHD PF00628 362-409",ING3_MOUSE,Histone acetylation
ING4,#,Histone modification read,HBO1,H3K4me3,"inhibitor of growth family, member 4",ING4_HUMAN,"ING PF12998 5-107, PHD PF00628 198-245",ING4_MOUSE,#
ING5,#,Histone modification read,"HBO1, MOZ/MORF","H3K4me3, H3K4me2","inhibitor of growth family, member 5",ING5_HUMAN,"ING PF12998 5-107, PHD PF00628 188-235",ING5_MOUSE,#
INO80,#,Chromatin remodeling,Ino80,#,INO80 complex subunit,INO80_HUMAN,"DBINO PF13892 270-410, Helicase_C PF00271 1135-1214, Pfam-B_16799 PB016799 1435-1475, SNF2_N PF00176 521-822",INO80_MOUSE,#
INO80B,#,Chromatin remodeling cofactor,Ino80,#,INO80 complex subunit B,IN80B_HUMAN,"PAPA-1 PF04795 211-293, zf-HIT PF04438 305-336",IN80B_MOUSE,#
INO80C,#,Chromatin remodeling cofactor,"Ino80, CHD8, MLL2/3, MLL4/WBP7",#,INO80 complex subunit C,IN80C_HUMAN,YL1_C PF08265 141-170,IN80C_MOUSE,#
INO80D,#,Chromatin remodeling cofactor,Ino80,#,INO80 complex subunit D,IN80D_HUMAN,"Pfam-B_14282 PB014282 588-622, zf-C3Hc3H PF13891 16-80 446-512",IN80D_MOUSE,#
INO80E,#,Chromatin remodeling cofactor,#,#,INO80 complex subunit E,IN80E_HUMAN,#,#,#
JADE1,"H3ac, H4ac",Histone modification write,HBO1,"H3, H4",jade family PHD finger 1,JADE1_HUMAN,"EPL1 PF10513 29-181, PHD_2 PF13831 217-251, zf-HC5HC2H_2 PF13832 256-368",JADE1_MOUSE,Histone acetylation
JADE2,"H3ac, H4ac",Histone modification write,HBO1,"H3, H4",jade family PHD finger 2,JADE2_HUMAN,"EPL1 PF10513 39-177, PHD_2 PF13831 213-247, Pfam-B_23296 PB023296 631-669, zf-HC5HC2H_2 PF13832 252-364",JADE2_MOUSE,Histone acetylation
JADE3,"H3ac, H4ac",Histone modification write,HBO1,"H3, H4",jade family PHD finger 3,JADE3_HUMAN,"EPL1 PF10513 30-178, PHD PF00628 202-249, zf-HC5HC2H_2 PF13832 253-365",JADE3_MOUSE,Histone acetylation
JAK2,H3T41ph,Histone modification write,#,H3T41,Janus kinase 2,JAK2_HUMAN,"Pkinase_Tyr PF07714 545-805 849-1123, SH2 PF00017 400-481",JAK2_MOUSE,Histone phosphorylation
JARID2,#,Histone modification write cofactor,PRC2,"H3K27, H3K9","jumonji, AT rich interactive domain 2",JARD2_HUMAN,"ARID PF01388 618-709, JmjC PF02373 916-1031, JmjN PF02375 558-591, Pfam-B_728 PB000728 1-122, zf-C5HC2 PF02928 1139-1193",JARD2_MOUSE,Histone methylation
JDP2,#,"Chromatin remodeling, Histone modification erase cofactor",#,#,Jun dimerization protein 2,JDP2_HUMAN,bZIP_1 PF00170 70-131,JDP2_MOUSE,Histone acetylation
JMJD1C,H3K9,Histone modification erase,#,H3K9me,jumonji domain containing 1C,JHD2C_HUMAN,"JmjC PF02373 2381-2481, Pfam-B_14856 PB014856 2090-2122, Pfam-B_15350 PB015350 2148-2224, Pfam-B_16501 PB016501 1889-1927, Pfam-B_17329 PB017329 541-947, Pfam-B_19453 PB019453 1929-2023, Pfam-B_2770 PB002770 220-524, Pfam-B_63706 PB063706 1-119",JHD2C_MOUSE,Histone methylation
JMJD6,"H3R2, H4R3",Histone modification erase,#,"H3R2me, H4R3me",jumonji domain containing 6,JMJD6_HUMAN,"JmjC PF02373 174-288, Pfam-B_22969 PB022969 1-39",JMJD6_MOUSE,Histone methylation
KANSL1,H4ac,"Histone modification write cofactor, Histone modification write cofactor","NSL, CHD8, MLL2/3, MLL4/WBP7",H4,KAT8 regulatory NSL complex subunit 1,KANL1_HUMAN,"PEHE PF15275 885-1035, Pfam-B_14811 PB014811 571-639, Pfam-B_19390 PB019390 431-469, Pfam-B_2194 PB002194 135-403, Pfam-B_6892 PB006892 471-569",KANL1_MOUSE,"Histone methylation, Histone acetylation"
KANSL2,H4ac,Histone modification write cofactor,NSL,H5,KAT8 regulatory NSL complex subunit 2,KANL2_HUMAN,"Pfam-B_21577 PB021577 1-25, zf-C3Hc3H PF13891 27-93 300-365",KANL2_MOUSE,Histone acetylation
KANSL3,H4ac,Histone modification write cofactor,NSL,H6,KAT8 regulatory NSL complex subunit 3,KANL3_HUMAN,"Abhydrolase_5 PF12695 287-436, Pfam-B_10092 PB010092 521-544, Pfam-B_8995 PB008995 545-589",KANL3_MOUSE,Histone acetylation
KAT2A,#,Histone modification write,"TFTC-HAT, SAGA, ATAC, STAGA",#,K(lysine) acetyltransferase 2A,KAT2A_HUMAN,"Acetyltransf_1 PF00583 553-628, Bromodomain PF00439 737-820, PCAF_N PF06466 86-337, Pfam-B_10717 PB010717 1-67",KAT2A_MOUSE,Histone acetylation
KAT2B,#,Histone modification write,#,#,K(lysine) acetyltransferase 2B,KAT2B_HUMAN,"Acetyltransf_7 PF13508 541-624, Bromodomain PF00439 732-815, PCAF_N PF06466 74-327, Pfam-B_358817 PB358817 339-381",KAT2B_MOUSE,Histone acetylation
KAT5,"H2AK5ac, H3K14ac, H4K5ac, H4K8ac, H4K12ac, H4K16ac",Histone modification write,"SWR, NuA4, Piccolo_NuA4","H2AK5, H3K14, H4K5,H4K8, H4K12, H4K16",K(lysine) acetyltransferase 5,KAT5_HUMAN,"MOZ_SAS PF01853 285-477, Tudor-knot PF11717 7-65",KAT5_MOUSE,Histone acetylation
